Date,fitmencook,yolanda_gampp,izyhossack,NatashasKitchen,inspiralized,rosannapansino,smittenkitchen,sweetambs,CupcakeAddictAU,joythebaker,MKBHD,ijustine,UnboxTherapy,tldtoday,LinusTech,GuyKawasaki,austinnotduncan,AndroidAuth,Dave2Dtv,TechnoBuffalo,chiaraferragni,weworewhat,GalMeetsGlam,gabifresh,imjennim,susiebubble,nicolettemason,ManRepeller,aimeesong,bryanboy,mrkatedotcom,designsponge,copycatchic,ladolcevitablog,cococozy,designlovefest,jenjentrixie,em_henderson,abeautifulmess,brightbazaar,RachelBrathen,blogilates,kayla_itsines,nataliejillfit,michelle_lewin,LyzabethLopez,SimeonPanda,JenSelter,missemilyskye,thebodycoach,damonandjo,JohnnyJet,theplanetd,chrisburkard,funforlouis,thepointsguy,adventurouskate,MuradOsmann,theblondeabroad,TravelBabbo,iisuperwomanii,kingbach,camerondallas,shanedawson,harto,BabyAriel,MirandaSings,tyleroakley,loganpaul,lelepons,dantdm,Jack_Septic_Eye,pewdiepie,skydoesawesomes,sssniperwolf,ProSyndicate,VanossGaming,markiplier,OMGitsfirefoxx,takahashimari,nikkietutorials,christendtweets,beautylish,mannymua733,xoShaaan,kandeejohnson,hudabeauty,michellephan,JeffreeStar,zoella
Mar-27,374277,622752,20782,3354657,89353,771811,599980,2639344,5389544,211932,298937,1126113,330273,49345,5235,449276,115263,2241535,,453484,1247781,182093,474995,212976,431475,,51146,342504,879634,96381,44318,333498,20717,,95071,189746,607651,91255,86280,44070,536069,1221141,19428468,1860584,9011849,2300178,5593376,9277960,10861614,2937400,31442,37268,197646,445864,457426,1788832,55956,206275,177801,64048,3155819,9430251,3799564,3750843,402724,283237,1776065,2834318,16165173,3950068,924003,401992,7397471,1020442,2409810,1452822,2022308,3320366,,,1102781,2647,539988,613557,3886285,995775,4721456,3125056,2586340,
Mar-28,374325,622820,20779,3358719,89368,771795,599976,2639266,5389245,211962,298943,1126007,330346,49334,5239,449246,115257,2242087,,453491,1247802,182067,474998,213015,431437,,51150,342524,879574,96368,44327,333484,20717,,95073,189739,607944,91263,86316,44071,536033,1221160,19476854,1860540,9011694,2300009,5594049,9277714,10861069,2937458,31452,37267,197640,445849,457440,1789161,55955,206259,177844,64076,3155642,9429630,3799412,3750612,402676,283228,1775874,2833627,16165056,3950547,924037,402031,7397054,1020363,2409942,1452706,2022259,3321062,,,1102972,2647,540060,613621,3885917,995655,4734064,3124835,2586330,
Mar-29,374432,622916,20779,3361328,89367,771768,599954,2639175,5388906,211973,298950,1125936,330388,49331,5241,449214,115273,2242177,,453486,1247952,182066,474979,213064,431426,,51144,342548,879501,96357,44348,333464,20716,,95064,189722,608095,91254,86376,44067,536051,1221114,19518844,1860452,9011239,2299831,5594681,9277421,10860466,2937488,31458,37268,197637,445838,457453,1789332,55963,206241,177874,64095,3155424,9429002,3799010,3750385,402622,283211,1775308,2833333,16144955,3950704,924029,402090,7396671,1020295,2410046,1452384,2022226,3321549,,,1103090,2649,540065,613664,3886397,995618,4745211,3124656,2586281,
Mar-30,374495,623062,20775,3367334,89368,771733,599923,2638856,5388332,212015,298960,1125651,330498,49332,5273,449200,115300,2242216,,453509,1248231,182045,474944,213143,431420,,51139,342633,879378,96335,44372,333442,20712,,95055,189692,608265,91256,86450,44062,536076,1221192,19622031,1860301,9010261,2299666,5596090,9278454,10859161,2941207,31470,37273,197621,445856,457378,1789710,55961,206202,177955,64107,3155040,9427583,3799099,3749910,402524,283203,1774958,2832733,16141659,3951620,924081,402235,7396023,1018573,2410156,1451797,2022011,3323151,,,1103120,2656,540101,613663,3885916,995514,4755758,3124188,2586089,
Mar-31,374495,623062,20775,3367347,89368,771735,599923,2638856,5388333,212015,298960,1125651,330498,49332,5273,449200,115300,2242218,,453509,1248231,182045,474944,213143,431420,,51139,342634,879374,96335,44372,333442,20712,,95055,189692,608265,91256,86450,44062,536076,1221193,19622235,1860302,9010260,2299667,5596092,9278459,10859155,2941218,31470,37273,197621,445856,457378,1789713,55961,206202,177955,64107,3155041,9427579,3799096,3749908,402524,283205,1774959,2832733,16141654,3951623,924081,402235,7396025,1018568,2410155,1451797,2022011,3323156,,,1103120,2656,540101,613663,3885913,995513,4755769,3124187,2586092,
Apr-01,374604,623167,20769,3373068,89378,771668,599934,2638560,5387811,212007,298974,1125469,330560,49313,5297,449158,115295,2242867,,453513,1248212,182032,474898,213143,431462,,51136,342691,879192,96326,44397,333416,20712,,95051,189673,608322,91258,86477,44057,536080,1221659,19714020,1860200,9009889,2299670,5597787,9280420,10857953,2945970,31481,37275,197614,445896,457277,1790123,55959,206172,178133,64102,3154671,9426735,3799131,3749476,402455,283207,1774670,2832247,16141969,3952138,924055,402317,7395651,1017915,2409917,1451644,2021851,3324624,,,1103192,2665,540228,613637,3885133,995373,4757571,3123817,2586170,
Apr-02,374612,623209,20866,3373081,89455,771686,599939,2638622,5387896,212059,299040,1125542,330578,49320,5381,449203,115388,2242941,,453557,1248283,182119,474946,213163,431493,,51211,342777,879266,96378,44420,333495,20763,,95117,189750,608353,91352,86541,44137,536090,1221701,19714286,1860259,9009981,2299705,5597883,9280431,10858016,2946010,31493,37359,197675,445967,457371,1790196,56019,206245,178193,64153,3154704,9426738,3799146,3749541,402494,283223,1774679,2832335,16142051,3952183,924078,402362,7395747,1017985,2409959,1451712,2021875,3324632,,,1103243,2700,540236,613685,3885200,995464,4757572,3123911,2586266,
Apr-03,374612,623213,20874,3373090,89462,771687,599939,2638631,5387897,212065,299049,1125547,330585,49323,5388,449205,115390,2242944,,453567,1248290,182125,474950,213166,431502,,51220,342779,879274,96381,44423,333499,20772,,95124,189757,608359,91355,86542,44137,536098,1221710,19714294,1860263,9009983,2299712,5597886,9280431,10858025,2946018,31498,37368,197684,445972,457378,1790201,56022,206254,178198,64163,3154713,9426748,3799152,3749547,402500,283231,1774679,2832344,16142054,3952192,924086,402369,7395749,1017987,2409964,1451716,2021882,3324639,,,1103253,2706,540245,613687,3885201,995471,4757576,3123913,2586269,
Apr-04,374621,623217,20879,3373093,89471,771690,599941,2638632,5387902,212074,299054,1125554,330594,49329,5394,449208,115394,2242953,,453568,1248295,182126,474958,213172,431507,,51228,342787,879284,96391,44431,333506,20774,,95130,189762,608359,91364,86546,44144,536100,1221714,19714295,1860266,9009986,2299720,5597895,9280436,10858029,2946022,31498,37372,197686,445974,457383,1790209,56030,206263,178203,64169,3154715,9426749,3799156,3749553,402505,283234,1774681,2832348,16142056,3952200,924090,402376,7395756,1017990,2409968,1451722,2021882,3324639,,,1103255,2709,540247,613692,3885207,995479,4757581,3123917,2586272,
Apr-05,374628,623219,20885,3373094,89473,771691,599944,2638633,5387910,212077,299064,1125561,330594,49333,5399,449212,115398,2242957,,453573,1248295,182130,474959,213173,431515,,51232,342789,879286,96396,44439,333516,20780,,95138,189762,608362,91366,86555,44145,536102,1221723,19714299,1860276,9009989,2299728,5597904,9280443,10858029,2946022,31506,37373,197687,445978,457393,1790217,56034,206265,178212,64179,3154724,9426750,3799160,3749563,402509,283235,1774688,2832355,16142057,3952208,924100,402379,7395763,1017999,2409977,1451730,2021883,3324646,,,1103257,2713,540250,613699,3885214,995485,4757582,3123919,2586277,
Apr-06,374631,623227,20893,3373098,89474,771701,599951,2638638,5387911,212081,299068,1125566,330602,49339,5401,449219,115403,2242960,,453575,1248300,182137,474963,213174,431519,,51241,342789,879293,96400,44441,333524,20783,,95143,189765,608364,91370,86562,44148,536107,1221723,19714299,1860278,9009998,2299731,5597912,9280453,10858034,2946026,31509,37381,197696,445981,457400,1790222,56034,206269,178216,64182,3154732,9426752,3799162,3749571,402519,283239,1774688,2832357,16142059,3952212,924105,402386,7395765,1018000,2409978,1451739,2021885,3324647,,,1103262,2718,540257,613707,3885216,995485,4757583,3123925,2586284,
Apr-07,374746,623341,20764,3388088,89381,771448,599579,2637728,5386562,212061,298801,1124902,330584,49271,5345,448928,115189,2242394,,453390,1247911,181932,474781,213303,431345,,51112,342725,878873,96267,44479,333275,20713,,95035,189566,608586,91239,86581,44053,535989,1222062,19975257,1859930,9008169,2298691,5601333,9279532,10854791,2949516,31515,37258,197537,445827,457048,1791000,55955,206080,178453,64104,3153147,9423421,3798290,3748149,402164,283176,1774345,2830492,16137058,3952734,924134,402682,7392957,1017465,2411628,1450495,2021332,3326489,,,1104435,2684,540331,613816,3884626,995004,4760469,3122604,2585997,
